1.0,9.95,-0.01,-10.97,504.46,-1053.97,160.7
1.0,-7.43,0.01,-204.48,252.64,-371.27,60.0
1.0,8.19,-0.08,-319.7,1274.59,-874.95,281.83
1.0,-4.65,-0.01,-149.09,370.29,-268.41,103.22
1.0,-14.24,0.02,348.76,924.32,-1808.76,407.06
1.0,18.02,-0.02,311.07,1087.88,-402.6,155.66
1.0,1.27,0.0,279.84,312.8,-118.86,28.39
1.0,-88.62,-0.05,-3234.69,1001.7,-3382.64,526.52
1.0,0.06,0.02,3.74,269.97,-324.05,37.11
1.0,209.12,1.09,-1355.84,4892.72,-3198.72,1501.19
1.0,17.66,-0.05,-36.09,1107.62,-1931.67,184.56
1.0,-41.73,0.09,-124.19,1684.28,-3674.59,473.05
1.0,-4.39,-0.03,8.93,171.28,-509.13,46.4
1.0,-96.26,-0.17,-31.36,1103.3,-1405.44,440.46
1.0,-89.3,0.01,101.4,368.01,-769.39,350.36
1.0,-14.6,0.0,17.38,453.91,-620.73,234.17
1.0,0.6,0.0,26.64,201.45,-131.08,29.6
1.0,0.04,0.02,3.83,178.98,-93.91,18.7
1.0,-5.62,0.0,-203.22,600.47,-245.12,48.72
1.0,1.24,0.0,176.38,1167.25,-613.06,183.63
1.0,28.41,0.03,658.15,3625.61,-2606.49,421.69
1.0,-207.45,-3.06,-3133.08,4238.17,-5949.33,2494.84
1.0,2.77,0.01,-99.59,783.26,-1686.95,195.74
1.0,-5.33,-0.01,-173.99,277.66,-2467.23,127.12
1.0,-3.21,-0.01,2.41,525.71,-233.34,61.63
1.0,1.98,-0.03,-0.83,384.08,-198.65,34.62
1.0,-1206.41,-13.02,-47130.67,150725.8,-118381.3,29994.06
1.0,-5.83,-0.05,110.89,2948.63,-472.71,144.16
1.0,8.43,0.01,165.2,213.41,-312.24,74.4
1.0,-3.97,-0.02,-151.29,561.11,-151.29,48.35
1.0,-210.88,1.08,1032.47,2034.69,-3465.59,1725.13
1.0,-0.26,-0.04,-2.77,463.42,-184.84,34.3
1.0,0.26,-0.01,10.15,1848.18,-175.47,45.72
1.0,-2.51,-0.01,-37.42,819.75,-159.69,48.93
1.0,-19.39,0.06,-201.73,1489.63,-1013.5,259.74
1.0,-12.36,0.0,-22.59,1850.11,-1174.12,158.85
1.0,-6.7,-0.03,81.81,253.24,-421.61,56.1
0.0,0.21,0.0,10.97,711.28,-1671.64,84.25
0.0,4.21,0.0,14.7,600.11,-571.03,63.0
0.0,0.89,0.0,3.06,963.98,-334.82,41.12
0.0,4.85,0.0,-95.58,1464.33,-292.36,140.19
0.0,33.16,0.0,-12.28,93373.95,-6054.62,1675.25
0.0,-5.52,0.0,-371.59,1547.14,-607.96,187.74
0.0,0.06,0.0,-0.5,175.94,-46.13,8.55
0.0,-0.21,0.0,-20.47,540.87,-737.3,56.75
0.0,5.22,0.0,-0.31,1267.27,-165.46,47.98
0.0,440.97,0.0,-1420.81,9496.34,-7303.92,3486.56
0.0,2.37,0.0,-0.77,306.98,-28.49,13.17
0.0,-0.27,0.0,-418.28,1042.92,-933.03,99.17
0.0,3.01,0.0,-15.5,618.5,-934.0,166.23
0.0,0.28,0.0,-4.67,90.14,-17.26,5.48
0.0,-1.32,0.0,-31.55,1169.81,-836.14,77.45
0.0,0.63,0.0,-0.23,906.2,-21.48,18.26
0.0,2.17,0.0,-85.72,450.2,-313.57,25.33
0.0,0.59,0.0,0.71,110.79,-125.64,20.18
0.0,-0.28,0.0,-111.04,581.57,-528.14,64.09
0.0,2.11,0.0,10.69,988.78,-290.53,84.85
0.0,1.11,0.0,-14.32,200.75,-199.17,29.46
0.0,0.99,0.0,3.25,221.88,-32.76,10.16
0.0,-1.24,0.0,-13.61,3205.44,-921.17,76.56
0.0,0.37,0.0,-3.82,970.19,-64.48,20.8
0.0,0.73,0.0,-22.03,372.36,-127.01,30.86
0.0,13.79,0.0,-176.35,1511.77,-448.46,183.24
0.0,0.63,0.0,-63.36,435.06,-367.45,36.64
0.0,0.77,0.0,-12.67,301.48,-143.85,25.79
0.0,-4.28,0.0,-197.54,935.85,-849.03,97.22
0.0,3.63,0.0,-127.38,661.36,-256.93,47.65
0.0,256.13,0.0,-290.85,2196.33,-826.84,743.68
0.0,0.94,0.0,-14.29,852.16,-147.95,40.54
0.0,-0.3,0.0,-6.44,213.6,-116.97,26.08
0.0,1.69,0.0,-60.85,777.77,-936.96,118.09
0.0,7.61,0.0,-15.07,11651.78,-33.15,274.25
0.0,1.99,0.0,-9.39,814.44,-317.47,42.75
0.0,0.88,0.0,-4.18,221.02,-33.49,10.18
0.0,-1.22,0.0,7.0,954.64,-210.38,27.33
0.0,0.33,0.0,-0.52,189.61,-32.77,10.29
0.0,-0.22,0.0,-5.16,167.59,-91.28,15.01
0.0,0.77,0.0,-43.86,229.08,-267.61,77.34
0.0,1.34,0.0,-20.21,436.23,-290.05,41.27
0.0,3.32,0.0,0.7,499.98,-225.67,39.21
0.0,4.75,0.0,-52.78,829.62,-650.82,186.49
0.0,0.37,0.0,-3.37,189.34,-23.08,7.98
0.0,0.57,0.0,-9.52,1684.67,-1363.52,133.5
0.0,1.6,0.0,-7.29,188.51,-102.15,27.67
0.0,-0.18,0.0,8.95,219.03,-78.37,13.13
0.0,-2.14,0.0,0.31,350.07,-189.17,24.21
0.0,-6.67,0.0,32.14,588.36,-3665.5,121.25
0.0,-40.06,0.0,120.95,1026.28,-1548.31,449.25
0.0,-0.96,0.0,-56.82,1146.36,-1204.08,307.12
0.0,-243.98,0.0,-5762.3,4884.37,-6547.01,2689.9
